piece_name,composer,key,measures_total,file_path,time_signature_raw,time_signature_flat,entity_type,start_bar,end_bar,span_bars,voices,voices_str,confidence,example,justification,piece_id
Nocturne,LYSENKO,c# minor,17,tiny-dataset-first-iteration/LYSENKO_Nocturne_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,10,12,3,['V0'],V0,medium-high,d'#16 c'# c'# d'# c'# b# c'#8. g#16 f# g# a g# c'#8. a16 | g#8 c#16 d# e4. e'8 e' d'n | d'n16 e' d'8 c'# c'#8. g#16 b a g# a b trip{c'#} trip{e} trip{a},"Bars 10–12 in V0 closely parallel bars 2–4: bar 10 elaborates the initial upbeat figure of bar 2, bar 11 closely matches bar 3, and bar 12 corresponds to bar 4 with similar d'–e'–d' motion and triplet arpeggiation. The rhythmic and melodic correspondence identifies this as a thematic return.",7
Nocturne,LYSENKO,c# minor,17,tiny-dataset-first-iteration/LYSENKO_Nocturne_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,2,2,1,['V0'],V0,high,d'#8 c'# c'#16 d'# c'#8,"The short cell d'#–c'#–(c'#)–d'#–c'# with its specific eighth–sixteenth grouping is a compact, clearly bounded idea in bar 2. A closely matching variant appears at the start of bar 10, supporting its status as a recurring motif within the theme.",7
Nocturne,LYSENKO,c# minor,17,tiny-dataset-first-iteration/LYSENKO_Nocturne_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,3,3,1,['V0'],V0,medium-high,g#8 c#16 d# e4.,"The rising figure g#–c#–d#–e with a sustained e in bar 3 is a short, self‑contained melodic unit. In bar 11 the same contour and rhythm are repeated, indicating a motivic role inside the theme.",7
Nocturne,LYSENKO,c# minor,17,tiny-dataset-first-iteration/LYSENKO_Nocturne_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,PHRASE,2,5,4,"['V0', 'V1']","V0,V1",medium-high,d'#8 c'# c'#16 d'# c'#8 g# f# g# c'#8. a16 | g#8 c#16 d# e4. e'8 e' d'n | d'n16 e' d'8 c'# c'# g# b a trip{c'#} trip{e} trip{a} | g#2 r8 g'# g'# f'# || cC#8 <e c#> <g# e> r <a c#>2 | <cC# c#>8 c#16 d# e8 gG# c# r r4 | cC#8 <e c#> <g# e> r r4 <a c#>8 e | eE <e b> <g# e> bB e r r4,"From the upbeat in bar 2 through bar 4, V0 presents a complete thematic statement, while bar 5 adds a closing gesture with a sustained g#2 in V0 and supporting chords in V1 followed by rest, marking a point of melodic and registral settling. Together these bars form a perceptible phrase unit.",7
Fugue,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Fugue_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,1,3,3,['V0'],V0,high,r4 e' c' b8 a | b4 e b c'# | d' a d'2~,"In V0, bars 1–3 form a continuous, clearly profiled line with consistent rhythm and contour, ending on a sustained d'. The same three-bar span is later restated in V2, supporting its status as thematic material.",4
Fugue,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Fugue_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,10,12,3,['V2'],V2,high,r4 e c b8 a | b4 e b c# | d a d2~,"In V2, bars 10–12 reproduce the melodic shape and rhythm of V0 bars 1–3 at a lower register, confirming this as a thematic restatement.",4
Fugue,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Fugue_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,1,2,2,['V0'],V0,high,r4 e' c' b8 a | b4,"The opening V0 gesture from the rest through e'–c'–b–a into the following b is a compact, rhythmically distinct cell that recurs in V2 with the same pattern.",4
Fugue,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Fugue_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,10,11,2,['V2'],V2,high,r4 e c b8 a | b4,"In V2, the same rhythmic and intervallic pattern (e–c–b–a into b) appears in bars 10–11, matching the opening V0 cell in contour and duration.",4
Fugue,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Fugue_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,PHRASE,1,5,5,['V0'],V0,medium-high,r4 e' c' b8 a | b4 e b c'# | d' a d'2~ | d'8 e' c' d' b e' d' e' | c'2 e'2~,"V0 bars 1–5 form a continuous melodic span: the thematic idea in bars 1–3 leads into an active continuation in bar 4 and then into longer note values and sustained tones in bar 5, creating a locally closed unit.",4
Fugue,STEPOVYI,a minor,16,tiny-dataset-first-iteration/STEPOVYI_Fugue_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,PHRASE,10,16,7,['V2'],V2,medium-high,r4 e c b8 a | b4 e b c# | d a d2~ | d8 e c d b e d e | c2 e~ | e4 d#2 e8 dn | c2~ c8 b c d,"In V2, bars 10–16 present the thematic restatement (10–12) followed by continuation and then progressively longer note values and final c prolongation, forming a single extended melodic unit.",4
Prelude,LYSENKO,C major,15,tiny-dataset-first-iteration/LYSENKO_Prelude_71-85.musicxml,{'Piano': ['4/4']},4/4,THEME,1,4,4,['V0'],V0,high,e'4. e'8 d'8. e'32 d' c'8 b | a c' g4 f8 g b16 a8 g16 | e'4. e'8 d'8. e'32 d' c'8 b | a c' g8. e16 trip{f8} trip{g} trip{g#} c' b,"In V0, bars 1–4 form a continuous, clearly profiled melodic unit: a characteristic dotted opening gesture (bar 1) returns almost literally (bar 3), with contrasting connectors in bars 2 and 4. The material is contiguous, prominent, and internally coherent, supporting its role as the main theme.",10
Prelude,LYSENKO,C major,15,tiny-dataset-first-iteration/LYSENKO_Prelude_71-85.musicxml,{'Piano': ['4/4']},4/4,MOTIF,1,3,3,['V0'],V0,high,e'4. e'8 d'8. e'32 d' c'8 b | e'4. e'8 d'8. e'32 d' c'8 b,"The figure e'–d'–c'–b with its dotted rhythm appears in near-literal repetition in bars 1 and 3 of V0, with the same rhythm and contour, satisfying motivic repetition over two clearly matched occurrences.",10
Prelude,LYSENKO,C major,15,tiny-dataset-first-iteration/LYSENKO_Prelude_71-85.musicxml,{'Piano': ['4/4']},4/4,MOTIF,5,6,2,['V0'],V0,medium-high,a c' gn4 trip{<d f>8} trip{g} trip{g#} a b | a c' gn4 trip{f8} trip{g} trip{g#} e' d',"In V0, bars 5–6 share the opening a–c' and a repeated triplet chromatic figure involving g–g#, with matching basic rhythm and contour across the two bars; this yields a short, recognizable cell despite slight pitch differences.",10
Prelude,LYSENKO,C major,15,tiny-dataset-first-iteration/LYSENKO_Prelude_71-85.musicxml,{'Piano': ['4/4']},4/4,PHRASE,1,4,4,['V0'],V0,medium-high,e'4. e'8 d'8. e'32 d' c'8 b | a c' g4 f8 g b16 a8 g16 | e'4. e'8 d'8. e'32 d' c'8 b | a c' g8. e16 trip{f8} trip{g} trip{g#} c' b,"The V0 line in bars 1–4 forms a single continuous arch, with an initial idea in bars 1–2 returning in bars 3–4 and coming to a local point of rest at the end of bar 4, marking a plausible phrase boundary.",10
Prelude,LYSENKO,C major,15,tiny-dataset-first-iteration/LYSENKO_Prelude_71-85.musicxml,{'Piano': ['4/4']},4/4,SEQUENCE,9,10,2,['V2'],V2,medium-high,<eEn en>16 g c e <eE- e-> g an c <dD d> f# a d <dD- d-> fn g b | <cC c> e g c aA- e- a- c fF c d a- fF aA- d- a-,"In V2, bars 9–10 present continuous sixteenth-note arpeggiated patterns with consistent rhythm and closely related intervallic shapes shifted to new pitch levels in immediate succession, satisfying the criteria for a sequential repetition.",10
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,THEME,2,7,6,['V0'],V0,high,a4 g#8 e f#16 g# g#8 g# e | a16 e' c'# a g#8 e fn16 f# gn g# g#8 e | a4 c'# d'16 e' f'# e' d' c'# b a | g# f# e8 e g# e4 e | a c'# d'16 e' f'# e' d' c'# b a | g# f# e8 e g# a4 r,"Bars 2–7 in V0 form a continuous, clearly profiled melodic span with internal repetition (bars 4 and 6; 5 and 7) and a clear ending on A with rest in bar 7, making it a coherent thematic statement.",3
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,THEME,8,13,6,['V0'],V0,high,a' g'#8 e' f'#16 g'# g'#8 g'# e' | a' trip{e''16} trip{c''#} trip{a'} g'#8 e' f'n16 f'# g'n g'# g'#8 e' | a'4 c''# d''16 e'' f''# e'' d'' c''# b' a' | g'# f'# e'8 e' g'# e'4 e' | a' c''# d''16 e'' f''# e'' d'' c''# b' a' | g'# f'# e'8 e' g'# a'4 r,"Bars 8–13 in V0 restate the same melodic material from bars 2–7 an octave higher, with only minor rhythmic variation (e.g., the triplet in bar 9), preserving contour and bar-to-bar patterning.",3
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,MOTIF,4,4,1,['V0'],V0,high,a4 c'# d'16 e' f'# e' d' c'# b a,"The bar-4 figure in V0 (quarter a–c'# followed by the sixteenth-note arch d'–e'–f'#–e'–d'–c'#–b–a) is a short, self-contained cell that recurs literally in bar 6 and in transposition an octave higher in bars 10 and 12.",3
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,MOTIF,5,5,1,['V0'],V0,high,g# f# e8 e g# e4 e,"The bar-5 figure in V0 (g#–f#–e followed by repeated e and a return to g# and e) is a compact, rhythmically distinctive unit that is closely repeated in bar 7 and again an octave higher in bars 11 and 13.",3
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,SEQUENCE,4,6,3,['V0'],V0,high,bar4: a4 c'# d'16 e' f'# e' d' c'# b a | bar6: a c'# d'16 e' f'# e' d' c'# b a,"In V0, bar 6 is a literal repetition of the bar-4 pattern: same pitches, intervals, and rhythm, making it a clear sequential restatement of the bar-4 figure within the theme.",3
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,SEQUENCE,4,12,9,['V0'],V0,medium-high,bar4: a4 c'# d'16 e' f'# e' d' c'# b a | bar10: a'4 c''# d''16 e'' f''# e'' d'' c''# b' a' | bar12: a' c''# d''16 e'' f''# e'' d'' c''# b' a',"The complete bar-4 pattern in V0 reappears in bars 10 and 12 exactly an octave higher, with identical rhythm and intervallic structure, forming a clear transposed sequence across these measures.",3
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,PHRASE,2,7,6,['V0'],V0,medium-high,a4 g#8 e f#16 g# g#8 g# e | a16 e' c'# a g#8 e fn16 f# gn g# g#8 e | a4 c'# d'16 e' f'# e' d' c'# b a | g# f# e8 e g# e4 e | a c'# d'16 e' f'# e' d' c'# b a | g# f# e8 e g# a4 r,"Bars 2–7 in V0 form a continuous melodic span that culminates in bar 7 on A followed by a rest, indicating a clear phrase ending for the initial statement of the material.",3
Dance,STEPOVYI,A major,15,tiny-dataset-first-iteration/STEPOVYI_Dance_1-15.musicxml,{'Piano': ['4/4']},4/4,CADENCE,7,7,1,['V0'],V0,medium-high,g# f# e8 e g# a4 r,"In V0, bar 7 moves to a sustained A (tonic in A major) followed by rest, with a slowing rhythmic profile compared to preceding bars, providing melodic closure at the end of the phrase from bars 2–7.",3
Tarantelle,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_Tarantelle_41-57.musicxml,{'Фортепіано': ['6/8']},6/8,THEME,1,4,4,['V0'],V0,high,a-8 b'- a'- c' d'- d'n | e'- f' e'- b- c' b- | d'- e'- d'- a- b- a- | c' d'- c' b- c' b-,"Bars 1–4 in V0 form a continuous, rhythmically regular 6/8 melody with closely related two-bar ideas (1–2 and 3–4), clearly standing out as the main melodic material of the excerpt.",14
Tarantelle,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_Tarantelle_41-57.musicxml,{'Фортепіано': ['6/8']},6/8,MOTIF,1,2,2,['V0'],V0,high,a-8 b'- a'- c' d'- d'n | e'- f' e'- b- c' b-,"Within the opening theme, bars 1–2 in V0 present a short, repeating three-eighth pattern and similar contour that functions as a compact, recognizable melodic cell.",14
Tarantelle,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_Tarantelle_41-57.musicxml,{'Фортепіано': ['6/8']},6/8,SEQUENCE,6,8,3,['V0'],V0,high,b-4 b-8 c'4 c'8 | d'n4 d'8 e'-4 e'-8 | f'4 f'8 g'4 g'8,"In V0, bars 6–8 repeat the same quarter–eighth, quarter–eighth rhythm while shifting the pitch pairs stepwise upward (b–c', d'–e', f'–g'), maintaining intervallic and rhythmic structure in a clear ascending sequence.",14
Tarantelle,LYSENKO,E- major,16,tiny-dataset-first-iteration/LYSENKO_Tarantelle_41-57.musicxml,{'Фортепіано': ['6/8']},6/8,PHRASE,1,4,4,['V0'],V0,high,a-8 b'- a'- c' d'- d'n | e'- f' e'- b- c' b- | d'- e'- d'- a- b- a- | c' d'- c' b- c' b-,Bars 1–4 in V0 form a coherent melodic unit in 6/8 with balanced two-bar subgroups and a clear sense of local completion at the end of bar 4.,14
Polonaise-de-Concert,LYSENKO,E major,16,tiny-dataset-first-iteration/LYSENKO_Polonaise-de-Concert_98-114.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,1,4,4,['V0'],V0,high,an16 g# g# a g# f## g#8 <g# e'>4 <g# e'>8 | <c# a c'#> <e c'# e'> <g# c'# g'#>4~ <g# g'#>8 f'#16 g'# <f# f'#> <e e'> | <c# a c'#>8 <e c'# e'> <b c'# e' b'>4 <b c'n e' b'>8 a'16 b' <a a'> <g# g'#> | <f# f'#> <a a'> <c'n c''n> <e' e''> <g'# g''#>8 <g'# g''#>4 <f'# f''#>16. <e' e''>32,"Bars 1–4 in V0 form a continuous, clearly profiled melodic line with consistent rhythm and contour, distinct from later material and spanning a full multi-bar unit, making it a plausible principal theme.",9
Polonaise-de-Concert,LYSENKO,E major,16,tiny-dataset-first-iteration/LYSENKO_Polonaise-de-Concert_98-114.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,6,7,2,['V0'],V0,medium-high,g'# e' g'# b' <d'# g'# d''#>4~ <d'# g'# d''#>8 c''#16 d''# <c'# c''#> <b# b'#> | <c'# g'# c''#> <g# b> <g# e'> <g# e' g'#> <g# e' b'>4~ <g# e' b'>8 c''#16 b' <a a'> <g# g'#>,"In bars 6–7, V0 repeatedly presents a compact arpeggiated figure built on E-major chord tones followed by a short 16th-note turn, a locally coherent and recognizable melodic cell.",9
Suite-4,STEPOVYI,c minor,21,tiny-dataset-first-iteration/STEPOVYI_Suite-4_1-21.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,2,5,4,['V0'],V0,high,r1 | g8 c c bn c2 | b-8 an b- c g4 f | g8 c c bn c4. d16 e- | b-2 g,"In V0, bars 2–5 form a continuous, clearly profiled melodic unit: a characteristic opening figure in bar 2, a complementary continuation in bar 3, a patterned restatement with extension in bar 4, and a closing b-2–g in bar 5. The material is coherent, singable, and distinct from the surrounding rests and later variants.",13
Suite-4,STEPOVYI,c minor,21,tiny-dataset-first-iteration/STEPOVYI_Suite-4_1-21.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,9,12,4,['V0'],V0,medium-high,g8 c' c' bn c'2 | b-8 an b- c' g4 f | d8 g g f# g4. an16 b- | f2 d,"In V0, bars 9–12 present a reprise of the earlier thematic idea: the opening bar 9 closely matches bar 2 in rhythm and contour but in a higher register, and bars 10–12 provide a varied continuation and closure. This passage is clearly related to the first theme while not being an exact literal repeat.",13
Suite-4,STEPOVYI,c minor,21,tiny-dataset-first-iteration/STEPOVYI_Suite-4_1-21.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,17,18,2,['V0'],V0,medium-high,g8 c c bn c2 | b-8 an b- c g2~,"In V0, bars 17–18 give a shortened but clear return of the thematic opening from bar 2: the same g–c–c–bn–c figure in bar 17 followed by a closely related continuation in bar 18, now leading into a sustained g2. The thematic identity is unambiguous despite the truncation.",13
Suite-4,STEPOVYI,c minor,21,tiny-dataset-first-iteration/STEPOVYI_Suite-4_1-21.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,2,2,1,['V0'],V0,high,g8 c c bn c2,"The five-note cell g8–c–c–bn–c in bar 2 of V0 is short, rhythmically and melodically distinctive, and it recurs clearly at bars 4, 9, and 17 with the same rhythm and contour, marking it as a central motivic element.",13
Suite-4,STEPOVYI,c minor,21,tiny-dataset-first-iteration/STEPOVYI_Suite-4_1-21.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,3,3,1,['V0'],V0,medium-high,b-8 an b- c g4 f,"The figure b-8–an–b-–c–g4–f in bar 3 of V0 is a compact, recognizable unit combining a neighbor motion and a descent. Its rhythm and pitch pattern are closely echoed in bar 10 (with register shift), and the b-–an–b-–c–g portion appears again at bar 18, supporting its identification as a recurring motif.",13
Suite-4,STEPOVYI,c minor,21,tiny-dataset-first-iteration/STEPOVYI_Suite-4_1-21.musicxml,{'Фортепіано': ['4/4']},4/4,PHRASE,2,5,4,"['V0', 'V2', 'V3']","V0,V2,V3",high,r1 | g8 c c bn c2 | b-8 an b- c g4 f | g8 c c bn c4. d16 e- | b-2 g || <cC gG>1~ | <cC gG>~ | gG2. fF4 | gG2. c4 | <gG d>1 || | | cC1 | cC | |,"Bars 2–5 form a 4-bar unit: V0 presents a complete melodic idea that begins with the characteristic figure in bar 2 and comes to rest on g2 in bar 5, while V2 (and low cC in V3 in bars 3–4) provide continuous bass support. The onset at bar 2 and the settling at bar 5 clearly articulate phrase boundaries.",13
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,1,4,4,['V0'],V0,high,<f a f'>4 <f c' f'> <e c' e'> g'8 e' | <f f'> <e e'> <d d'> <c# c'#> <d d'>4 <f f'> | <c# a c'#> a <d b- d'> <e c'n e'>8 <d b- d'> | a2 a4 r,"Bars 1–4 in V0 form a continuous, prominent upper line with consistent rhythm and contour, ending in bar 4 on a sustained a followed by a rest. The 4‑bar span and later near-literal return mark it as the main thematic idea.",12
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,20,23,4,['V0'],V0,high,<fn a f'n>4 <f c'n f'> <e c' e'> g'8 e' | <f f'> <e e'> <d d'> <c# c'#> <d d'>4 <f f'> | <c# g c'#> a <d b- d'> <e c'n e'>8 <d b- d'> | a2 a4 r,"Bars 20–23 in V0 closely match bars 1–4 in length, contour, and rhythm, including the same closing a2 a4 r pattern in bar 23, functioning as a clear reprise of the opening theme.",12
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,PHRASE,1,4,4,['V0'],V0,high,<f a f'>4 <f c' f'> <e c' e'> g'8 e' | <f f'> <e e'> <d d'> <c# c'#> <d d'>4 <f f'> | <c# a c'#> a <d b- d'> <e c'n e'>8 <d b- d'> | a2 a4 r,"Bars 1–4 in V0 make a self-contained 4‑bar unit that moves toward and reaches a point of rest on the long a with a following rest in bar 4, giving clear phrase closure.",12
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,CADENCE,4,4,1,['V0'],V0,medium-high,a2 a4 r,"In bar 4, the upper voice sustains a followed by a rest (a2 a4 r), lengthening and then stopping the motion and providing local melodic closure at the end of the phrase.",12
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,PHRASE,20,23,4,['V0'],V0,high,<fn a f'n>4 <f c'n f'> <e c' e'> g'8 e' | <f f'> <e e'> <d d'> <c# c'#> <d d'>4 <f f'> | <c# g c'#> a <d b- d'> <e c'n e'>8 <d b- d'> | a2 a4 r,"Bars 20–23 in V0 again form a complete 4‑bar unit whose motion leads to a sustained a followed by a rest in bar 23, clearly marking a phrase end.",12
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,CADENCE,23,23,1,['V0'],V0,medium-high,a2 a4 r,"Bar 23 repeats the same a2 a4 r closing pattern as bar 4 in the upper voice, with extended duration and rest producing phrase-final melodic closure.",12
Suite-1,STEPOVYI,D major,23,tiny-dataset-first-iteration/STEPOVYI_Suite-1_9-31.musicxml,{'Фортепіано': ['4/4']},4/4,MOTIF,1,2,2,['V0'],V0,medium-high,<f a f'>4 <f c' f'> <e c' e'> g'8 e' | <f f'> <e e'> <d d'> <c# c'#> <d d'>4 <f f'>,"The opening passage in V0 across bars 1–2 has a characteristic rhythm and descending stepwise/third motion that forms a compact, recognizable idea which recurs later with very similar shape.",12
